file_path,feature_id,feature_name,rfc
".dependency-cruiser.cjs","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".editorconfig","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".gitattributes","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".gitignore","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".gitleaks.toml","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".harness/pipelines/ci-build.yaml","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".harness/templates/docker-build-node-app.yaml","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".harness/templates/docker-build-python-service.yaml","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".harness/templates/docker-build-standalone-app.yaml","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".husky/commit-msg","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".husky/post-merge","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".husky/pre-commit","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".husky/pre-push","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".lintstagedrc.json","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".mcp.json","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".prettierignore","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".prettierrc.json","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
".trivyignore","F023","Infrastructure Delivery and Operations","docs/specs/rfcs/RFC-023-infrastructure-delivery-operations.md"
"apps/admin/.auth/admin.json","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/.dockerignore","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/.env.example","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/Dockerfile","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/admin-pages.spec.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/auth.setup.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/audit.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/config-overrides.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/config.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/dashboard.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/deals.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/health.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/models.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/resilience.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/secrets.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/tenants.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/e2e/screenshots/usage.png","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/next-env.d.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/next.config.mjs","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/package.json","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/playwright.config.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/postcss.config.js","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/__tests__/deal-lifecycle.e2e.test.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/__tests__/tenant-lifecycle.e2e.test.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(auth)/layout.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(auth)/login/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/audit/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/config-overrides/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/config/[env]/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/config/diff/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/config/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/deals/[id]/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/deals/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/health/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/layout.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/models/[id]/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/models/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/resilience/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/secrets/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/secrets/rotation/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/tenants/[id]/UsageTab.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/tenants/[id]/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/tenants/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/(dashboard)/usage/page.tsx","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/audit/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/auth/dev-login/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/auth/logout/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/config/diff/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/config/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/config/validate/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/deals/[id]/credits/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/deals/[id]/line-items/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/deals/[id]/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/deals/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/health/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/hubspot/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/resilience/[...path]/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/secrets/rotation/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
"apps/admin/src/app/api/secrets/route.ts","F019","Admin and Governance Surfaces","docs/specs/rfcs/RFC-019-admin-governance-surfaces.md"
